train_loss_step,lr,epoch,step,val_loss,val_dice,train_loss_epoch
0.8755893111228943,0.0029294926207512617,0,49,,,
0.7059946060180664,0.0027191347908228636,0,99,,,
0.5502619743347168,0.0023894887417554855,0,149,,,
0.652328610420227,0.0019728222396224737,0,199,,,
0.6104029417037964,0.0015099216252565384,0,249,,,
0.49045199155807495,0.0010460986522957683,0,299,,,
0.462735116481781,0.0006267556454986334,0,349,,,
0.5789390802383423,0.0002929408219642937,0,399,,,
0.589868426322937,7.733033271506429e-05,0,449,,,
0.49858224391937256,1.0295988204234163e-06,0,499,,,
0.5058230757713318,7.150747842388228e-05,0,549,,,
0.3946710228919983,0.0002818650973495096,0,599,,,
,,0,641,0.6152206659317017,0.40279850363731384,
,,0,641,,,0.5943687558174133
0.5203651189804077,0.0006115111755207181,1,649,,,
0.5046893954277039,0.00102817767765373,1,699,,,
0.5273330211639404,0.001491078408434987,1,749,,,
0.4742422103881836,0.001954901497811079,1,799,,,
0.4429118037223816,0.002374244388192892,1,849,,,
0.502244234085083,0.0027080592699348927,1,899,,,
0.5438398122787476,0.002923669759184122,1,949,,,
0.5308278203010559,0.002999970456585288,1,999,,,
0.5307625532150269,0.0029294926207512617,1,1049,,,
0.42016035318374634,0.0027191347908228636,1,1099,,,
0.5052700638771057,0.0023894887417554855,1,1149,,,
0.6522260904312134,0.0019728222396224737,1,1199,,,
0.48334765434265137,0.0015099216252565384,1,1249,,,
,,1,1283,0.5383654832839966,0.47679439187049866,
,,1,1283,,,0.5083169341087341
0.44190913438796997,0.0010460986522957683,2,1299,,,
0.44086724519729614,0.0006267556454986334,2,1349,,,
0.434597909450531,0.0002929408219642937,2,1399,,,
0.5106065273284912,7.733033271506429e-05,2,1449,,,
0.3849245309829712,1.0295988204234163e-06,2,1499,,,
0.42984098196029663,7.150747842388228e-05,2,1549,,,
0.593315839767456,0.0002818650973495096,2,1599,,,
0.4288027286529541,0.0006115111755207181,2,1649,,,
0.3607097268104553,0.00102817767765373,2,1699,,,
0.4358886480331421,0.001491078408434987,2,1749,,,
0.38935160636901855,0.001954901497811079,2,1799,,,
0.44430333375930786,0.002374244388192892,2,1849,,,
0.4579116106033325,0.0027080592699348927,2,1899,,,
,,2,1925,0.5764784812927246,0.44219377636909485,
,,2,1925,,,0.4502946734428406
0.60185706615448,0.002923669759184122,3,1949,,,
0.4881633520126343,0.002999970456585288,3,1999,,,
0.3725646734237671,0.0029294926207512617,3,2049,,,
0.49246764183044434,0.0027191347908228636,3,2099,,,
0.4967547059059143,0.0023894887417554855,3,2149,,,
0.4372401833534241,0.0019728222396224737,3,2199,,,
0.4896314740180969,0.0015099216252565384,3,2249,,,
0.3831492066383362,0.0010460986522957683,3,2299,,,
0.4490399956703186,0.0006267556454986334,3,2349,,,
0.4246594309806824,0.0002929408219642937,3,2399,,,
0.4193968176841736,7.733033271506429e-05,3,2449,,,
0.4642067551612854,1.0295988204234163e-06,3,2499,,,
0.3738197684288025,7.150747842388228e-05,3,2549,,,
,,3,2567,0.4832143485546112,0.5319728255271912,
,,3,2567,,,0.44436269998550415
0.45646172761917114,0.0002818650973495096,4,2599,,,
0.3944125771522522,0.0006115111755207181,4,2649,,,
